Name;Molecular Weight;Specific Gravity 25C;Vapor Pressure 25C;Strength;Relative Odor Impact;Substantivity;Group;Usage;Note;Subjective;Alfabet
Iso E Super;234.38;0.96;0.001;2;40;172;1;20%;1;1;Wood
Ambroxan;236.4;;0.009;3;400;700;2;2%;1;1;Amber
Hedione;226.31;0.997;0.001;2;65;72;3;50%;2;3;Floral
Aldehyde C-10;156.27;0.824;0.207;3;500;224;4;1%;3;10;Aliphatic
Ambrocenide;278.44;;0.002;3;500;400;5;1%;4;10;Amber
Ambermax;;;;3;250;400;2;5%;1;9;Amber
Linalool;154.25;0.858;0.016;2;100;12;6;12%;5;7;Linalool
Linalyl Acetate;196.28;0.903;0.116;2;100;20;7;15%;5;7;Linalool
Geraniol;154.25;0.87;0.021;2;100;60;3;15%;2;7;Linalool
Floropal;206.29;;0.007;2;120;68;8;6%;2;8;Green
Fructone;174.2;1.079;0.219;2;80;12;9;8%;3;7;Fruit
Benzyl Acetate;150.18;1.05;0.177;2;120;4;3;30%;5;8;Jasmine
Benzyl Salicylate;228.25;1.18;0.00017;1;30;380;10;40%;1;0;Jasmine
Ebanol;208.35;0.9;0.000281;2;125;400;1;5%;1;8;Wood
Dihydromyrcenol;156.27;0.825;0.166;2;100;16;11;30%;5;8;Citrus
Citral;152.24;0.89;0.2;2;270;12;11;5%;3;9;Citrus
Allyl Amyl Glycolate;186.25;0.93;0.04;2;170;84;9;1%;3;9;Green
Amber Core;228.38;0.94;0.001;2;200;168;2;40%;1;4;Amber
Amber Decane;242.4;0.928;0.004;2;80;168;2;5%;1;6;Amber
Azarbre;180.29;;0.014;2;120;24;1;10%;2;8;Wood
Bacdanol;208.34;0.914;0.00028;3;80;300;1;10%;1;7;Wood
Cedramber;236.4;0.971;0.013;2;120;124;1;2%;1;4;Wood
Alcohol C-7 Heptanol;110.16;0.82;0.325;2;120;10;8;3%;3;8;Aliphatic
Alcohol C-8 Octanol ;130.23;0.822;0.0794;2;100;92;12;2%;5;7;Aliphatic
Aldehyde C-11 Undecylenic;168.28;0.84;0.039;3;175;380;4;1%;5;10;Aliphatic
Aldehyde C-12 MNA;184.32;0.822;1.428;3;700;388;4;2%;4;10;Aliphatic
D-Limonene;136.24;0.838;0.198;2;70;4;11;20%;3;7;Citrus
Aldehyde C-16;206.24;1.086;0.006;2;380;240;9;15%;2;5;Fruit
Allyl Cyclohexyl Propionate;196.29;0.945;0.009;2;130;250;9;5%;2;9;Fruit
Benzaldehyde;106.12;1.041;1.27;3;500;4;9;1%;3;10;Fruit
Cis-3 Hexenol;100.16;0.846;1.039;3;700;4;8;8%;3;10;Green
Cis-3 Hexenyl Salicylate;220.27;1.057;0.000246;2;90;216;3;5%;4;2;Green
Helional;192.21;1.161;0.003;2;80;150;3;5%;5;8;Green
Stemone;143.23;0.886;0.041;2;1000;16;8;5%;3;10;Green
Styralyl Acetate;164.2;1.02;0.203;2;350;8;8;5%;3;9;Green
Triplal;138.21;0.932;0.578;3;800;8;8;3%;3;10;Green
Alpha Damascone;192.3;0.928;0.008;3;700;66;3;5%;5;9;Iris
Saffranal;150.22;0.968;0.134;3;400;64;7;1%;5;10;Edible
Safraleine;174.24;1.015;0.013;3;200;168;7;3%;1;9;Edible
Benzyl Butyrate;178.23;1.005;0.037;2;120;64;9;8%;5;9;Jasmine
cis-Jasmone;164.25;0.942;0.01;2;400;68;3;3%;2;9;Jasmine
Hexyl Cinnamic Aldehyde;216.32;0.951;0.001;2;100;400;3;10%;1;7;Jasmine
Alpha Pinene;136.24;0.853;4.75;3;150;4;7;10%;3;7;Konifer
Beta Pinene;136.24;0.867;2.93;3;150;4;7;12%;3;7;Konifer
Isobornyl Acetate;196.29;0.979;0.025;2;120;8;10;30%;3;7;Konifer
Dimethyl Benzyl Carbinyl Butyrate;220.31;0.96;0.002;2;220;100;3;8%;2;7;Linalool
Farnesol;222.37;0.884;0.00037;1;20;400;3;5%;1;4;Linalool
Cyclamen Aldehyde;190.29;0.945;0.009;2;75;72;3;1%;2;7;Muguet
Hydroxycitronellal;172.27;0.917;0.003;2;25;218;3;2%;4;7;Muguet
Lilial;204.31;0.942;0.005;2;80;236;3;2%;4;7;Muguet
